# cycles.log — حواف أسقطها Kahn لتكوينها دورات
# السطر: حافة | القاعدة/الثقة | سلسلتا الطرفين | سبب الإسقاط
984_أم البراهين|007.11 → 993_حواشي_اليوسي|018.13 | rule=tag_chain conf=0.5 | 984_أم البراهين ← 993_حواشي_اليوسي | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
989_آداب_البحث_و_المناظرة|010.09 → 999_شرح_السلم|009.02 | rule=tag_chain conf=0.5 | 989_آداب_البحث_و_المناظرة ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
10_الأجهوري|10-0065 → 783_عقيدة أهل السنة المستوى الأول|783-030-e03 | rule=tag_chain conf=0.7 | 10_الأجهوري ← 783_عقيدة أهل السنة المستوى الأول | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|006.04 → 999_شرح_السلم|009.19 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|002.02 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|002.03 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|003.05 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|006.08 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|006.09 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|006.10 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|006.18 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|006.19 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|006.21 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|008.06 → 999_شرح_السلم|007.13 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|009.05 → 999_شرح_السلم|001.11 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|009.05 → 999_شرح_السلم|001.19 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|009.05 → 999_شرح_السلم|003.02 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|009.05 → 999_شرح_السلم|003.17 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
766_شرح متن السلم المنورق|009.05 → 999_شرح_السلم|004.02 | rule=tag_chain conf=0.7 | 766_شرح متن السلم المنورق ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
